sample_id,VoidFraction,young_modulus,fracture_strain
0,3.745401188473625,807.9467856030795,0.2155
1,9.50714306409916,542.5875494746319,0.2555
2,7.319939418114051,616.6923153052425,0.2165
3,5.986584841970366,664.4230770503204,0.2165
4,1.5601864044243652,921.6182161946975,0.301
5,1.5599452033620265,921.6292861315751,0.301
6,0.5808361216819946,966.5655547582724,0.3825
7,8.661761457749352,570.6136244677846,0.255
8,6.011150117432088,663.1501725030919,0.2165
9,7.080725777960454,625.1836386437225,0.2165
10,0.20584494295802447,983.7757968600702,0.383
11,9.699098521619943,536.2238457845892,0.2555
12,8.324426408004218,581.7969496442067,0.255
13,2.1233911067827616,894.8239430236538,0.301
14,1.8182496720710062,909.774387417464,0.301
15,1.8340450985343382,909.0494553951692,0.301
16,3.0424224295953772,845.5993236407717,0.2155
17,5.247564316322379,712.7417711668916,0.2155
18,4.319450186421157,773.4237971615596,0.2155
19,2.9122914019804194,852.5693257998341,0.2155
20,6.118528947223795,659.3385655943741,0.2165
21,1.3949386065204183,929.2022735541091,0.301
22,2.9214464853521815,852.0789665670121,0.2155
23,3.663618432936917,812.3271858282396,0.2155
24,4.56069984217036,757.6503945058581,0.2155
25,7.851759613930136,597.8143899590603,0.253
26,1.9967378215835974,901.5826633458032,0.301
27,5.142344384136116,719.6212684769514,0.2155
28,5.924145688620425,668.505478346236,0.2165
29,0.46450412719997725,971.9046184558061,0.3825
30,6.075448519014383,660.8677837662618,0.2165
31,1.7052412368729153,914.9609161670805,0.301
32,0.6505159298527952,963.3675958827944,0.3825
33,9.488855372533333,543.1938226788579,0.2555
34,9.656320330745594,537.64202755778,0.2555
35,8.08397348116461,589.7684405180471,0.2525
36,3.0461376917337066,845.4003289382766,0.2155
37,0.9767211400638387,948.3963886621241,0.301
38,6.842330265121569,633.6459210648163,0.2165
39,4.4015249373960135,768.0575797840779,0.2155
40,1.2203823484477883,937.2135432379359,0.301
41,4.951769101112702,732.081475584884,0.2155
42,0.34388521115218396,977.4404306695835,0.383
43,9.093204020787821,556.3104487940632,0.2555
44,2.587799816000169,869.9495547608467,0.2175
45,6.62522284353982,641.3525439591072,0.2165
46,3.1171107608941098,841.5989108264719,0.2155
47,5.200680211778108,715.8071511229051,0.2155
48,5.4671027934327965,698.3878903825723,0.2155
49,1.8485445552552704,908.3840019800756,0.301
50,9.695846277645586,536.3316641151949,0.2555
51,7.7513282336111455,601.3793845098344,0.2175
52,9.394989415641891,546.3056651028993,0.2555
53,8.948273504276488,561.1151825309148,0.255
54,5.978999788110851,664.9190035971161,0.2165
55,9.218742350231167,552.1486044753938,0.2555
56,0.884925020519195,952.6093769429283,0.301
57,1.959828624191452,903.2766131210044,0.301
58,0.45227288910538066,972.4659718442485,0.3825
59,3.2533033076326436,834.3042451175025,0.2155
60,3.8867728968948203,800.3747166585262,0.2155
61,2.713490317738959,863.2173934573553,0.2175
62,8.287375091519294,583.0252741861673,0.255
63,3.567533266935893,817.4736434160689,0.2155
64,2.8093450968738076,858.083275716403,0.2175
65,5.426960831582485,701.0124550713318,0.2155
66,1.4092422497476265,928.5458070107741,0.301
67,8.021969807540398,591.8239851310251,0.2525
68,0.7455064367977082,959.0080010052365,0.3015
69,9.868869366005173,530.5956059688029,0.2555
70,7.722447692966574,602.4045518399487,0.2175
71,1.987156815341724,902.0223841882042,0.301
72,0.05522117123602399,990.6886836816817,0.3835
73,8.154614284548341,587.4265579429607,0.255
74,7.068573438476172,625.6150080414448,0.2165
75,7.2900716804098735,617.7525249909121,0.2165
76,7.712703466859457,602.7504408724707,0.2175
77,0.7404465173409036,959.2402263049448,0.3015
78,3.5846572854427263,816.5564567300646,0.2155
79,1.1586905952512971,940.0448898626986,0.301
80,8.631034258755935,571.6322919865131,0.255
81,6.232981268275579,655.2758722451729,0.2165
82,3.308980248526492,831.3221093013747,0.2155
83,0.6355835028602363,964.0529204938529,0.3825
84,3.109823217156622,841.9892419912638,0.2155
85,3.2518332202674705,834.3829850790405,0.2155
86,7.29606178338064,617.5398953886747,0.2165
87,6.3755747135521315,650.2142584968367,0.2165
88,8.872127425763265,563.6395758827655,0.255
89,4.722149251619493,747.0944973964599,0.2155
90,1.195942459383017,938.335213377423,0.301
91,7.13244787222995,623.3476688139767,0.2165
92,7.607850486168974,606.472388172276,0.2165
93,5.612771975694963,688.8637372424886,0.2165
94,7.70967179954561,602.8580554190326,0.2175
95,4.937955963643907,732.9846071502216,0.2155
96,5.227328293819941,714.0648442717609,0.2155
97,4.275410183585496,776.3032238514253,0.2155
98,0.2541912674409519,981.5569394674387,0.383
99,1.0789142699330445,943.7062289837706,0.301
100,0.3142918568673425,978.7986193970612,0.383
101,6.364104112637804,650.6214283437886,0.2165
102,3.143559810763267,840.1822622525539,0.2155
103,5.085706911647028,723.3243438500426,0.2155
104,9.07566473926093,556.8919107228614,0.2555
105,2.4929222914887497,875.0313293599665,0.2175
106,4.103829230356297,787.5215422980501,0.2155
107,7.555511385430487,608.3302597691063,0.2165
108,2.2879816549162246,886.008240136516,0.301
109,0.7697990982879299,957.8930878839026,0.301
110,2.8975145291376805,853.3607960395282,0.2155
111,1.6122128725400442,919.2304583945831,0.301
112,9.29697652342573,549.5549866482385,0.2555
113,8.08120379564417,589.8602610799333,0.2525
114,6.334037565104235,651.6886951460305,0.2165
115,8.714605901877178,568.861726457497,0.255
116,8.036720768991145,591.3349615365505,0.2525
117,1.8657005888603584,907.5966248133517,0.301
118,8.925589984899778,561.8671861354236,0.255
119,5.393422419156507,703.2052660081395,0.2155
120,8.074401551640625,590.0857689442316,0.2525
121,8.960912999234932,560.6961582335797,0.255
122,3.1800347497186388,838.228612858323,0.2155
123,1.1005192452767676,942.7146673754839,0.301
124,2.279351625419417,886.4704767400989,0.301
125,4.271077886262563,776.5864784321896,0.2155
126,8.18014765922493,586.5800759895571,0.255
127,8.607305832563434,572.4189363219771,0.255
128,0.06952130531190703,990.0323781910527,0.3835
